Pharmacy,PharmacistName,Mouhafaza,Casa,Address,Phone
al-jisr al-wati,Joseph Adib Salame,MONT LIBAN,AL MATN,Sin El Fil-Jisr Al Wati-Rue Principale,01/488178
al-joumhour,Bani Neaman Matta,MONT LIBAN,BAABDA,Joumhour-Rue Principale,05/768998
al-joundi,Wael Ahmad Joundi,LIBAN NORD,TRIPOLI,Tripoli-quartier Du Marché-Rue Al Tebbaneh-Imm. Al Joundi,06/380120
al-khalil,Lina Abdallah Khalil,MONT LIBAN,BAABDA,Haret Hreik-Rue Principale,01/556064
al-kotob,Samir Mustapha Kotob,LIBAN SUD,SAYDAH,Saida-Rue Riyad Al soloh,07/722255
al-madina,Assad Joseph Karaa,BEKAA,-,Baalbeck-al Berbara-Rue St Georges-Imm. Awad Jabak,08/374621
al-madina 2,Hussein Abdel Moutaleb Fneich,BEYROUTH,BEYROUTH,Beyrouth-Rue Hamra,01/343043-01/349369
al-mathaf,Vicky Joseph Skaf,BEYROUTH,BEYROUTH,Beyrouth-Rue Du Musée-Imm. Salameh,01/615823-01/615963
al-matn,Najib Henri Antaki,MONT LIBAN,AL MATN,Jal El Dib-Place Principale-Imm. Victor Zared,01/410075-01/410700
al-milad,Moukhaiber Mrad Mrad,MONT LIBAN,AL MATN,Baouchrieh-Al Sed-Rue St Jean-Imm. Al Choueiri,01/871284
al-mounir,Soumaya Ahmad-Mounir Abdo,LIBAN NORD,-,Halba-Al Zawarib-Rue Principale,06/690466
al-moustakbal,May Adel Abdelghani,BEKAA,ZAHLE,Majdel Anjar-Rue Al Masnaa-Propriete De Mohamad Ali Daher,08/620218
al-moustakbal 2,Ali Mouhamad Daher,Al Nabatieh,NABATIEH,Nabatieh-Rue Soubah,07/761081
al-nour,Mohamad Selim Singer,LIBAN SUD,SAYDAH,Saida-Al Dacramane-Rue al sit Nafisseh,07/729989
al-rachid,Salwa Muhyeddine Al Arja,BEYROUTH,BEYROUTH,Ras Beyrouth-Al Sanaoubara-Rue Al Houssein-Imm Chartouni,01/352550
al-richani,Omar Kamel Richani,BEYROUTH,BEYROUTH,Hamra-Rue Maamari-Imm. Idrice,01/342831
al-rif,Imad Selim Abi-El-Mouna,MONT LIBAN,BAABDA,Abadieh,05/552882
al-sammac,Houssam Fayssal Sammak,BEYROUTH,BEYROUTH,Beyrouth-Mseitbeh-Rue Takieh Dine,01/707373
al-sharif pharmacy,Salah Ahmad Alsharif,Al Nabatieh,NABATIEH,Kfarremmane- Nabatieh,07/769277
al-taawon,Assia Antoun Aramouni,BEKAA,ZAHLE,Ber Elias-Route Nationale,08/510835
al-zahraa `,Wissam Mahmoud Abou Taam,Al Nabatieh,MERGEOUN,Kfarcala-Rue Principale,07/855433
al-zahrawi,Ali Mouhamad Hadid,BEYROUTH,BEYROUTH,Hamra-Descente Bristol-Imm. Zahlan,01/353053
al-zarif,Issam Said Dabliz,BEYROUTH,BEYROUTH,Beyrouth-Al Zarif-Rue Rachid Nakhle,01/368540-01/368446/7
ala`,Alaa` Mohamad Harmoucha,LIBAN NORD,TRIPOLI,Tripoli-Quartier Al Nazha,06/433979
ala` pharm,Alaa Hassan Khreis,Al Nabatieh,MERGEOUN,Al Khiyam-Mergeoun,03/844023
alaa pharmacy,Alaa Mohamad Haidar,Al Nabatieh,NABATIEH,Zefta-Nabatieh,07/505538
alaa pharmacy 2,Alaa Ahmad Mrad,BEKAA,-,Baalback-Rue De La Dame Khawla,-
aladdin hamze pharmacy,Alaaeddine Abdul-Rahman Hamze,LIBAN NORD,TRIPOLI,Tripoli-Al Tel,06/438000
aladen  medical pharmacy,Hassan Mostafa Alaadin,BEKAA,BEKAA OUEST,Sohmor-West Bekaa,70/993807
alaik,Layal Kamal Gibai,LIBAN SUD,TYR,Ain Beal -La Rue Principale-,07/430945
alam pharmacy,Rose Elias Alam,MONT LIBAN,AL MATN,Al Baouchrieh-Al Raouda-Propriete Nabil Bou Nassif,01/696947
alameddine,Amer Mahmoud Alameddine,LIBAN NORD,TRIPOLI,Tripoli-Bifurcation Zahrieh-Rue Du Boulevard,06/437000
alampharm,Khaled Moatassem Alam,LIBAN NORD,TRIPOLI,Tripoli-Rue Du Boulevard-Imm. Meskawi,06/626000-06/627000
alawieh,Kassem Mouhammad Daoud,MONT LIBAN,BAABDA,Mreijeh-Prés De La Croix Rouge,01/472357
alawiya pharmacy,Ali Ahmad Alaouie,MONT LIBAN,ALEY,Kayfoun - Aley,05/270605
alexandre,Rony Gergy Feghaly,BEYROUTH,BEYROUTH,Achrafieh-rue Adib Isaac,01/333807-01/200498/88
alexandre karam,Alexandre Tanios Karam,MONT LIBAN,BAABDA,Hadath-rue Adib Chiddiac,05/470550-05/460550
alexi,Nizar Georges Kfoury,LIBAN NORD,AL BATROUN,Chekka-Al Sahel,06/540498
aley,Rabih Aref Gharizi,MONT LIBAN,ALEY,Aley-Al Balakine-Rue Bécharra Al Khoury,05/558008
alfa,Tatiana Alexy Kononits,LIBAN NORD,AL KOURA,Btouratej-Al Koura,06/416493
alfa 2,Leila Salaheddine Zein,LIBAN SUD,SAYDAH,Saida,07/734750
alfarma,Maha Ali Ibrahim,MONT LIBAN,ALEY,Al Kobbeh-Aley,-
ali,Ali Ismail Kandil,LIBAN SUD,TYR,Al Chhabieh-quartier Al Daoura,07/411501
ali 2,Ali Hussein Sinane,LIBAN SUD,SAYDAH,Tefahta-Saida,07/421099
ali 3,Ali Mohamad Jouni,Al Nabatieh,NABATIEH,Al Nabatieh-Al Douair,07/436020-07/436788
ali al jadida,Ali Ibrahim Shokor,MONT LIBAN,BAABDA,Ouzai,03/027073
ali al nahri,Mohamad Faraj Yahfoufi,BEKAA,ZAHLE,Ali Al Nahri_Rue Principale,08/921789
ali hani ibrahim ( pharmacie aynata),Ali Hani Ibrahim,Al Nabatieh,BENT JBEIL,Aynatha-Bint Jbeil,07/452326
ali pharmacy,Ali Mohamad Harb,Al Nabatieh,NABATIEH,Aadchit -Al Nabatieh,-
ali wehbeh,Ali Kamel Wehbé,BEKAA,-,Baalback-Rue Tel El Abyad-quartier Al Charaounah,08/372460
alia,Alia Farid Said,Al Nabatieh,MERGEOUN,Jdeidet Mergeoun,27/831506
alina pharmacy,Svetlana Victor Belousova,BEKAA,BEKAA OUEST,Kamed Al Laouz-La Rue Principale,08/662897
aline,Faten Issam Karawi,BEKAA,BEKAA OUEST,Al Karaoun-West Bekaa,08/631173
aline pharmacy,Mohamad Mahmoud El Moustafa,LIBAN NORD,AL BATROUN,Chekka-Al Batroun,-
alissar,Yassar Hussein Mortada,MONT LIBAN,BAABDA,Choueifat- Al Amroussieh,05/441698
all care pharmacy,Ali Mouhamad Zeiour,MONT LIBAN,BAABDA,Al Hazmieh- Mar Takla,05/457037
allailaki pharma,Dania Hussein Awad,MONT LIBAN,BAABDA,Al Hadath-Al Lailaki,05/460863
allam,Darine Mohamad Dib Allam,MONT LIBAN,BAABDA,Hadath-La Rue De L`Hopital Ste Thérese,05/465340
allija,Abbas Kamal Wehbe,BEYROUTH,BEYROUTH,Beyrouth-quartier Ligea/mosseitbeh-Rue Dennawi,01/818525
allouf,Robert Nabih Tenn,BEYROUTH,BEYROUTH,Beyrouth-Rue Badaro-Imm. Traboulsi,01/382082
alma,Ahmad Wafic Ibrahim,BEYROUTH,BEYROUTH,Beyrouth-Zekak Al Blat-Rue Boutros Al Boustani,01/377041
alma - al rahi,Rita Antoine Bejjani,MONT LIBAN,-,Jounieh-Sahel Alma-Rue Principale,09/636364
alma 2,Zahiya Mohamad Dali Balta,LIBAN SUD,SAYDAH,Saida-Al Dakramane-Pres  Du Labib Medical Center,07/739416
alma 3,Dolly Elias Chaibane,MONT LIBAN,-,New Sheileh-quartier Baroud-La Rue Principale,09/236565
almawi,Mariam Burhaneddine Elmawi,BEYROUTH,BEYROUTH,Beyrouth-Borj Abi Haidar,01/305901
aloha,Samar Ahmad Helmi Baltaji,BEYROUTH,BEYROUTH,Mazraa`-Rue Noueiri,01/646123-01/631652
alosra pharmacy,Ibrahim Khaled Al Jammal,BEYROUTH,BEYROUTH,Beyrouth-,01/847846
alpha-plus,Azmi Mohamad Ali Khreiss,LIBAN SUD,SAYDAH,Maghdoucheh-Saida,03/976601
amal,Amal Nadim Hamzé,MONT LIBAN,AL CHOUF,Bayssour,05/571040
amal pharm,Amal Abdel Razzak Hawilo,MONT LIBAN,BAABDA,Al Mreijeh/Borj Al Barajneh,03/463750
amani,Amani Houssein Al Heck,BEKAA,-,Al Hermel-La Rue Principale-quartier Al  Nassirieh,08/206005
amar pharmacy,Amal Hussain Mtayrek,MONT LIBAN,BAABDA,Chiah-Baabda,-
amchit,Roland Zakhya Kossaifi,MONT LIBAN,-,Amchit-Rue Principale-Imm. Al Jafari,09/620205
amer,Zakia Ismail Ezzeddine,MONT LIBAN,BAABDA,Burj Al Barajneh-Rue Ottoman,01/471015-01/471013
amir,Nagham Abdeljalil Dayeh,BEKAA,ZAHLE,Bar Elias-La Rue De La Corniche,08/514543
amir pharma,Houssein Ali Ghosn,BEKAA,-,Baalback-Rue Al Kayal-Propriete De Moukbel Diab,08/370670
amira pharm,Amira Mohamad Ali Orabi,MONT LIBAN,AL CHOUF,Daraya- Al Chouf,07/240233
amjad,Amjad Hassan Zaarour,Al Nabatieh,NABATIEH,Deir Al ZAhrani,-
ammacha,Ali Nohad Amacha,Al Nabatieh,NABATIEH,Kakaiyet Al Jisr-Quartier Al Jawharieh-La Rue Principale,-
ammar,Mazen Mourtada Ammar,LIBAN SUD,SAYDAH,Al Ghazieh-Saida,07/224475
anas,Hasnaa Youssef Sabra,BEKAA,ZAHLE,Bar Elias,08/514240
anayssi,Ziad Ferdinand Anayssi,MONT LIBAN,-,Blat-Rue Principale-Imm. Bedro Daou,09/540973
andira,Andira Mahmoud Bahmad,MONT LIBAN,BAABDA,Kornayel-Avenue Du Président Hafez Al Assad,05/360784
andraos,Margueritta Andraous Andraous,MONT LIBAN,-,Ballouneh-La Nouvelle Rue,09/230243
andré,André Youssef Khalil,MONT LIBAN,AL MATN,Baouchrieh-Rue De L`Université Libanaise,01/684862
anfeh,Georges Jean Issa,LIBAN NORD,AL KOURA,Koura-La Rue Principale,06/542450
angel,Angelina Elias Haddad,LIBAN NORD,AL KOURA,Fay`-La Route Principale,06/933035
angela,Gallina Youri Bou Chahine,MONT LIBAN,ALEY,Al Chbanieh-La Rue Principale-Imm. Fouad Zeid,05/371372
anipharm,Nidal Khalil Ghannam,MONT LIBAN,AL CHOUF,Damit-Rue Principale,05/722220
antelias,Jad Joseph Sakr,MONT LIBAN,AL MATN,Antelias-Rue Principale-Imm. Abdallah Jabbour,04/411097
antoine,Antoine Youssef Chreim,BEKAA,ZAHLE,Zahlé-Haouch Al Oumara,08/821557
antonina,Tatiana Ivan Harb,MONT LIBAN,AL CHOUF,Damour,05/601880
aoude,Simone Youssef Richa Aoudé,MONT LIBAN,-,Ghazir-Autostrade Meameltein,09/851387
aoude 2,Nawal Hussein Awde,BEKAA,-,Arsal-Quartier Wadi Al Hosn,-
aoukar,Norma Saad Waked,MONT LIBAN,AL MATN,Aoukar-Route Champville,04/544570
aoun,Marie-Claude Béchara Aoun,MONT LIBAN,AL MATN,Sin El Fil-Rond Point Hayek-Route Principale,01/480382
aoun 2,Nidal Adelfo Aoun,MONT LIBAN,-,Bakak Al Dine - Al Oukaibeh-Rue De L`autostrade,09/446568
ar pharmacy,Sara Ali Taha,BEKAA,BEKAA OUEST,Jeb Jannine-West Bekaa,-
arabi,Mohamad Toufic Arabi,MONT LIBAN,AL CHOUF,Ketermeya-La Rue Principale,07/972168
arabsalim,Fatmeh Mouhamad Ali Farhat,Al Nabatieh,NABATIEH,Arabsalim-Rue Principale,07/535067
araji,Hani Mohammad Araji,BEKAA,ZAHLE,Chtoura-Rue De Damas-Imm. Al Lakice,08/540099
aref,Aref Ali Hazimeh,BEKAA,ZAHLE,Terbel-Zahle-Rue Sainte Takla,08/955998
arij,Rayane Mohamad Rachid Mikati,LIBAN NORD,TRIPOLI,Tripoli-Rue Hachem Al Housseini,06/411321
arkey,Nancy Atef Nasser,Al Nabatieh,NABATIEH,Azzah-Al Nabatieh,07/525952
asmar,Pierre Abdo Asmar,MONT LIBAN,AL MATN,Daher Al Souwane,04/977951
assaad,Viviane Melhem Bou Maroun,MONT LIBAN,AL MATN,Fanar,01/901190
assafa a,Najwa Bahjat Jaber,MONT LIBAN,ALEY,Kaber Chmoun-Rue Principale,05/410202
assayran,Kassem Mouhamad Assayran,LIBAN SUD,SAYDAH,Hlalieh-Rue Jezzine,07/720204
asseydeh,Bachar Gergi Saoud,LIBAN NORD,-,Al Kobayat-Autostrade Al Kobayat,06/350259
assil pharmacy,Zoryana  Igor  Sylayeva,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Minyeh-Al Minyeh Al Denniyeh,-
astro pharmacy new,Sahar Ahmad Zeaiter,BEKAA,-,Baalback,-
atallah,Violette Boutros Atallah,BEKAA,ZAHLE,Zahle-Al Moualkah-La Place Principale,08/807272
atef el bsat,Atef Mahmoud Bsat,LIBAN SUD,SAYDAH,Saida-Rue Riyad Al Soloh-Imm.Bizri-Imm. Al Bizri,07/721821
atheer,Hanan Omar Omais,BEKAA,BEKAA OUEST,Karaoun - rue principale,08/630477
atieh,Hussein Ali Atie,LIBAN SUD,TYR,Hanaweyh-Tyr,07/431236
atik,Labib Toufic Atik,BEYROUTH,BEYROUTH,"Achrafieh-Rue ST Mi
tri",01/323225
atrissi,Yasser Mahmoud Atrissi,BEYROUTH,BEYROUTH,Beyrouth-Sanayeh,01/737774
attieh,Nicolas Habib Attieh,LIBAN NORD,AL KOURA,Kfar Saroune,06/952500
atwi,Wassim Khalil Atwi,LIBAN SUD,TYR,Tyr-Rue Des Grecs Orthodoxe,07/740087
ave maria,Mazen Chawki Merheb,MONT LIBAN,BAABDA,Al Merdacheh-Baabda,05/940351
ave maria-zouk mosbeh,Maya Samir El Boustany,MONT LIBAN,-,Zouk Mosbeh-La Rue Principale-Imm.Societe Nicolas,09/222121
avicena,Bilal Hussein Homsy,BEKAA,ZAHLE,Saednayel-La Route Principale-Propriete De Houssein Al Homsi,08/508251
avicenna-new pharmacy,Jalal Jaoudat Hachem,BEKAA,BEKAA OUEST,Lala-Quartier Al Fakhourieh Al Faouka-La Route Principale,-
awada,Hussein Ali Awada,LIBAN SUD,TYR,Jouwaya-Tyr,07/410699
awala pharmacy,Hikmat Mohamad Awala,Al Nabatieh,MERGEOUN,Touline -Margéoun,07/365330
aya,Salman Hani Roumie,LIBAN SUD,TYR,Maaraka-Quartier al Ghareb,07/315775
ayad al toubiyah,Ayad Khalil Kassab,BEKAA,BEKAA OUEST,Al Souwairy-Bekaa Ouest,08/622311
ayn kana,Hanadi Ibrahim Hammoud,Al Nabatieh,NABATIEH,Ayn Kana-Nabatieh,-
ayntoura-al matn,Emile Elias Bou Absi,MONT LIBAN,AL MATN,Ayntoura-Al Matn,03/289803
ayoub,Yehya  Abdou Ayoub,LIBAN NORD,-,Arka-Zouk Hdara-La Rue Principale,06/825594
ayoub 2,Ali Ahmad Ayoub,MONT LIBAN,BAABDA,Haret Hreik- rue Moukarzel,01/556656
ayoub 3,Dania Anis Ayoub,BEYROUTH,BEYROUTH,Beyrouth-Basta Tahta,01/658825
aytaroun,Ali Mouhamad Farhat,Al Nabatieh,BENT JBEIL,Aitaroune-Rue Principale,07/450820
aytat,Sara Assaad Al Timani,MONT LIBAN,ALEY,Aytat-Aley,05/273656
azar,Marie-Antoinette Edguar Khayat,MONT LIBAN,AL MATN,Dekweneh-Rue Du Palais Municipal,01/682926
aziza,Aziza Ahmad Al Ali,LIBAN NORD,-,Hrar-Akkar-Al Chammis-La Rue Principale,06/865005
azmi,Randa Mustapha Moukaddem,LIBAN NORD,TRIPOLI,Tripoli-Rue Azmi,06/627004
azouri,Ivette Youssef Azouri,BEYROUTH,BEYROUTH,Achrafieh-Rmeil,01/560431
azza pharmacy,Azza Ahmad Houjairy,BEKAA,-,Arsal-Baalback,70/785435
azzam,Talal Hassan Azzam,BEKAA,BEKAA OUEST,Kherbet Anafar,08/645145
azzam 2,Ahmad Najib Zebib,MONT LIBAN,AL MATN,Sin El Fil-Rue Mar Elias,01/489537-01/492276
azzam pharm,Azzam Khaled El Jabli,LIBAN NORD,-,Wadi Al Jamouce-Akkar,-
b pharma c,Ali Mehdi Braidy,BEKAA,-,Makneh - Baalback,71/080873
baabda,Richard Antoine Khoueiry,MONT LIBAN,BAABDA,Baabda-La Rue Principale,05/454822
baabdat,Fabienne Tanios Bteich,MONT LIBAN,AL MATN,Baabdat-Place Principale-Rue Principale-Imm. Labaki,04/977815-04/820063
baalback,Rim Mouhammad Sleiman,BEKAA,-,Baalback-Rue Ras Al Ain,08/371920
baalechmay,Adib Toufic Chayya,MONT LIBAN,ALEY,Baal Chmey-Route Principale De Baal Chmey,05/260994
baassiri,Ziad Saadeddine Baassyri,LIBAN SUD,SAYDAH,Abra-Rue Principale-Imm. Badih & Nassar,07/725623
bachacha,Lina Mahmoud Bachacha,LIBAN SUD,SAYDAH,Saida-Rue Du Boulevard De L`Est,07/739039
bachir,Roula Hassan Mehyo,BEYROUTH,BEYROUTH,Beyrouth-Karakol Al Dourouz-Rue l Al Jasaeir,01/735177
badaro,Antoine Nicolas Badaro,BEYROUTH,BEYROUTH,Achrafieh-Rue Hayek,01/324623-01/216577
badarol,Ali Khalil Hariri,BEYROUTH,BEYROUTH,Mazraa,01/387731
badawi,Hassan Ali Badawi,LIBAN SUD,TYR,Al Abbassiyeh -Al Haouch-La Rue Principale,07/346472
badra,Khaled Ahmad Badra,LIBAN NORD,Al Minyeh / Al Denniyeh,Sir Al Denniyeh-La Rue Principale,06/491455
badreddine,Wafa`a Ahmad Badreddine,Al Nabatieh,NABATIEH,Nabatieh-Rue Hassan Kamel Al Sabbah,07/767225
bahmad,Bassam Fouad Bahmad,LIBAN SUD,SAYDAH,Kfarmelki- Saida,07/215512
bahr,Mohamad Al Sayed Hassan Mousawi,BEKAA,-,Al Nabi Chite,08/336056
bakaraki,Ghinwa Ibrahim Bakaraki,LIBAN NORD,TRIPOLI,Tripoli-Abi Samra-Rue Du College Al Imane,06/628298
bakhos pharmacy,Bakhos Milad Joumaa,MONT LIBAN,-,Ghazir-Autoroute De Mameltein,09/853254
balamund pharmacy,Bahiya Abd Al Hakim Ghemrawi,LIBAN NORD,AL KOURA,Al Hreicheh- Al Koura,06/400411-06/400422
balsam,Salim Ramez Baassiri,BEYROUTH,BEYROUTH,Ras Beyrouth-quartier Du Rosaire-Rue De Rome,01/366880-01/366820
balsam 2,Maria-Alikhandra Orlen Avella-Ghitart,BEKAA,ZAHLE,Bar Elias_Al Barbita,-
banani,Imad Taher Bennani,MONT LIBAN,BAABDA,Al Loueizeh-Route De Damas,05/922652
baouchrieh,Paul Elias Hajj,MONT LIBAN,AL MATN,Al Baouchrieh-Amanos-Rue Maguy El Hajj,01/260084
baraa pharmacy,Baraa` Houssein Dandach,BEKAA,-,Baalback-Quartier Al Assira,08/377343
barbar,Mouhamad Ali Barbar,BEKAA,ZAHLE,Chtoura-Prés Du Restaurant Hanouche-Imm. Fattouh Et Hadda,08/540573
barbar 2,Chadi Melhem Barbar,MONT LIBAN,-,Sahel Alma-La Rue De L`autostrad,09/838833
barbar pharmacy,Ali Nabil Wayzani,MONT LIBAN,AL CHOUF,Barja-Al Chouf,-
bariaa`,Baria  Mohammad Nazir Safadi,MONT LIBAN,ALEY,Daouhet Al Choueifat-Cartier Al Kobbeh,05/807240
barja,Ibrahim Mahmoud Barbir,MONT LIBAN,AL CHOUF,Barja-Place Principale,07/623550
barmaki,Elie Toufic Barmaki,MONT LIBAN,AL MATN,BEIT MERY - RUE PRINCIPALE,04/870553
baroud,Viviane Rameh Baroud,MONT LIBAN,AL MATN,Antelias-Rue De L eglise St. Elie,04/418515
baroudi,Raja Rida Raad,MONT LIBAN,ALEY,Aley,25/554143-6
basma,Ezzat Mohamad Basma,LIBAN SUD,TYR,Tyr-quartier al Ramel-Rue Al Istiraha-Imm. Al Tahrira,07/741756
bassam,Bassam Youssef Souheil,LIBAN SUD,TYR,Batoulieh-La Route Principale,-
bassem,Bassem Noureddine Taleb Ajouz,BEYROUTH,BEYROUTH,Tarik Al Jadida -Rue Al Rabaa-Imm. Barakat Al Waraa,01/316987
bassil,Ziad Ibrahim Bassil,MONT LIBAN,-,Jounieh-Sahel Alma,09/637363
bassil 2,Roula Gergi Bassil,LIBAN NORD,AL BATROUN,Batroun,06/642634
basta el-jadida,Mehdi Abdelrahman Hammoud,BEYROUTH,BEYROUTH,Beyrouth-Al Basta Al Tahta-Rue De L`Ouzai-Imm. Radwane,01/641835
batoul pharm,Batoul Ali Assaf,BEKAA,-,Baalback-Ras El Ayn,76/820256
batroumine,Nadine Rachad Fayad,LIBAN NORD,AL KOURA,Batroumine,76/092349-06/406091
battah,Diana Hasan Battah,LIBAN SUD,SAYDAH,Saida-Quartier Al Wistani,07/728728
baydoun,Maher Hassan Baydoun,BEKAA,ZAHLE,Haouch Moussa-Anjar,-
bayssour,Wajdi Farhan Malaeb,MONT LIBAN,ALEY,Bayssour-Rue Principale,05/570500
bazzal,Mohamad Abdallah  Moussa,LIBAN NORD,-,Bazzal-Akkar,06/370680
bazzi,Anisa Abdel-Rida Chereim,MONT LIBAN,BAABDA,Chouaifat-Prés Du College Ghazali,05/480220
bazzoun,Ahmad Salim Bazzoun,LIBAN SUD,AL ZEHRANI,Al Akibieh-La Rue Principale,07/260640
bchamoun al haditha,Nadira Abdelaziz Joubeily,MONT LIBAN,ALEY,Bchamoun,25/811411
bchouti,Bchouti Samir Elias,BEYROUTH,BEYROUTH,Mazraa-quartier Du Corniche,01/300506
bdeir,Hassan Mohammad Bdeir,Al Nabatieh,NABATIEH,Nabatieh_Cartier Al Bayad_Rue Al Husseinieh,-
bechara,Mariette Mikhael Bechara,MONT LIBAN,AL MATN,Jal El Dib-Route De Béineya,04/715636
bednayel pharmacy,Rasha Houssam Hajj Sleiman,BEKAA,-,Bednayel-La Rue Principale,08/910331
beit chabab,Michel Georges Nassar,MONT LIBAN,AL MATN,Beit Chabeb-Rue Principale,04/986231
bejderfel,Jean Tanios Andraos,LIBAN NORD,AL BATROUN,Bejderfel-Rue Principale,06/725416
bekaa grand pharmacy,Assaad Mohamad El  Ashek,BEKAA,BEKAA OUEST,Ghazah- West Bekaa,70/197993
belmont pharmacy,Hanan Samir Sleyman,LIBAN NORD,AL KOURA,Kelhat - Al Koura,06/933604
berkayel,Bachir MohamadBachir Mrad,LIBAN NORD,-,Berkayel-Akkar-La Rue Principale,06/370343
berro,Fadl Abdallah Berro,MONT LIBAN,BAABDA,Ghobeiry-Cartier Du Mosquée-Rue Tyar,01/279488
berty,Caroli Robert Habra,BEYROUTH,BEYROUTH,Achrafieh-Rue Adib Ishak,01/322266-01/200767
beyrouth,Imad Mouhamad.K Boukhary,BEYROUTH,BEYROUTH,Beyrouth-L`Autoroute De La Cité Sportif,01/838585
beyrouth 2000,Hazar Abed Al Kader Al Saidi,MONT LIBAN,BAABDA,Furn El Chebbak-Avenue Sami Soloh-Imm. Céline,01/387924-01/380382
biajini,Maya Mario Biagini,BEKAA,ZAHLE,Zahlé-Rue Al Jisr-Imm. De L`Organisation Catholique de Charité,08/800550
bibnine al haditha,Amer Hassan Al Mohamad,LIBAN NORD,-,Bibnine-Akkar,06/470996
bien etre,Nohad Youssef Sarkis,MONT LIBAN,AL MATN,Zalka-Al Wata-rue Des Antonins-Propriete De Karimeh Becharra,70/100545
bikfaya,Bahia Ghassan Murr,MONT LIBAN,AL MATN,Bikfaya-Route Principale,04/984981
bilal,Bilal Hussein Taoube,LIBAN SUD,TYR,Derdaghaya-Tyr-La Rue Principale,07/415444
bilal 2,Bilal Houssein Moustafa,BEKAA,-,Al Ain-Baalback-Cartier Al Hmeiri,-
bilal 3,Bilal Hassan Nassereddine,BEKAA,-,Alkasser-Al Hermel,08/206215
bilal kaj,Bilal Mouhammad Ali Kaj,MONT LIBAN,ALEY,Bchamoune-La Rue Principale,05/801447
bilal pharmacy,Bilal Abdel Rahman Tabesh,MONT LIBAN,ALEY,Choueifat-Aley,05/808949
bint al hoda,Mahmoud Ahmad Ghaddar,LIBAN SUD,AL ZEHRANI,Bnafoul-Saida-La Rue Principale,07/525009
bint jbeil,Habib Adib Harajly,Al Nabatieh,BENT JBEIL,Bint Jbeil-Quartier Lux-Propriete De Amine Baydoun,27/452270
bint jbeil al jadida,Mahmoud Hussein Zalzali,Al Nabatieh,BENT JBEIL,Bint Jbeil,07/452429-07/796540
bio pharmacy,Ghida Nazmi El Hage,MONT LIBAN,BAABDA,Chiah,01/843876
bir hassan,Iman Yasser Labban,MONT LIBAN,BAABDA,Ghoubeiri,01/858443
bissariya,Irina Ivan Zbib,LIBAN SUD,AL ZEHRANI,Al Bissarieh-La Rue Principale,03/819339
bitar,Ramzi Mikhail Bitar,LIBAN NORD,ZGHORTA,Ardeh-La Rue Principale,06/664545
biyaout,Nancy Michel Ibrahim,MONT LIBAN,AL MATN,Biyaout,01/902948
blye`n white pharmacy,Wael Adel Khaddaj,MONT LIBAN,ALEY,Souk El Ghareb-Bifurcation de Keyfoune-Propriete Bazzi,05/273577
bologna,Laurette Elias Hajj,MONT LIBAN,AL MATN,Bolognia-quartier De La Foret-Rue Principale,04/296233
bon pasteur,Samia Gergi Khoury,MONT LIBAN,AL MATN,Sin El Fil-Horech Tabet-Boulevard Fouad Chehab,01/496677-01/481840
bonne sante pharmacy,Ali Mohamad Assaf,MONT LIBAN,BAABDA,Chiah-Ouzai-Propriete De Hassan Assaf,71/414056-03/037404
bou karroum,Hani Fouad Bou Karroum,MONT LIBAN,ALEY,Chouaifat-Al Kebbeh-Rue Principale,05/801382
bou younes pharmacy,Elie Toufic Bou Younes,MONT LIBAN,AL MATN,Jal El Dib-Rue Beyrouth/Tripoli,04/723488
bouchi,Nermine Elie Manneh,BEYROUTH,BEYROUTH,Achrafieh-Avenue De L`Indépendance,01/337360-01/337366
bouchra,Boshra Zeid Al Mousawy,LIBAN SUD,TYR,Kana-Tyr-La Rue Principale-Propriete De  Hassan Attiyeh,-
bouchra 2,Boushra Issam Mazeh,LIBAN SUD,TYR,Deir Anoun Al Naher-La Rue Principale,07/400672
boudai,Hassan Houssein Assaf,BEKAA,-,Boudai-Baalback-La Rue Principale-Propriete De Houssein Chams,03/126443
boueiz,Louna Bechara Boueiz,MONT LIBAN,AL CHOUF,Maasser Beit - eddine,05/507909
boulevard,Mohammad Amer Hassan Chahal,LIBAN NORD,TRIPOLI,Tripoli-Rue Al Bohsace,06/434684
boulos,Charbel Nemr Boulos,MONT LIBAN,AL CHOUF,Almane-Al Chouf,07/990894
bourj abi haydar,Khouloud Fouad Kreidieh,BEYROUTH,BEYROUTH,Beyrouth-Borj Abi Haidar-Rue Deaibes,01/652908
bourj hammoud,Nigoghos Kivork Nigoghossian,MONT LIBAN,AL MATN,Burj Hammoud-Rue Cis,01/262382
boustros,Jean Nicolas Bustros,BEYROUTH,BEYROUTH,Beyrouth-Sanayeh-Rue Bordeau-Propriété De Cheikh Al Ghanem,01/349742-01/346767
boutayeh,Christine Afif Boutayeh,MONT LIBAN,AL MATN,Sin El Fil,01/494456
boutros,Antoine Massoud Boutros,MONT LIBAN,AL MATN,Dekwaneh,01/500556
brazil pharmacy,Mahmud Kassim Chubassi,BEKAA,ZAHLE,Taalabaya - Zahlé,-
brazilia,Hoda William Haswani,MONT LIBAN,BAABDA,Baabda-Rue Hopital Sacré Coeur,05/459399
breidi,Grace Wadih Breidy,MONT LIBAN,AL MATN,Naccache-La Rue Principale,04/408029
